"","ID","Apt advice","Apt expectancy","Effort Advice","Effort Expectancy","Strat Advise","Strat Expectancy","Luck Advise","Luck Expectancy","Advice","Strategy_frequency","Strategy_factors","AptOut","AptVar","AptUncon","EffortOut","EffortVar","EffortUncon","MoodOut","MoodVar","MoodUncon","StratOut","StratVar","StratUncon","LuckOut","LuckVar","LuckUncon","TaskOut","TaskVar","TaskUncon","SMS1","SMS2","SMS3","SMS4","SMS5","SMS6","SMO1","SMO2","SMO3","MP1","MP2","MP3","MP4","SO1","SO2","SO3","SO4","SMS_mean","SMO_mean","MP_mean","SO_mean","Expectancy","Gender","Age","Education","Scenario","Effort_Dum","Strategy_Dum","SE_Dum","Justification","Detailed","Possibilities","Resources","Resources_withNotes","HelpingBeh","Prioritization","Quality","Method_Val","Method_Den","Method","BruteForce_Val","BruteForce_Den","Bruteforce_Final","SeekHelp_Val","SeekHelp_Den","SeekHelp","NoteTaking_Val","NoteTaking_Den","NoteTaking","BruteForcePure_Den","BruteForcePure_Val","BruteForce","Combined_Method","Convergent_Method","total_method","Total","Method_bin","BruteForce_bin","aptitude.locus","strategy.locus","effort.locus","aptitude.var","strategy.var","effort.var","aptitude.uncon","strategy.uncon","effort.uncon","LocusOut","Variability","Uncontrollability"
"1",3,"I would take a look at how she is organizing her notes and see if I can assist.",7,NA,NA,NA,NA,NA,NA,"I would take a look at how she is organizing her notes and see if I can assist.",NA,NA,2,3,6,5,7,2,3,7,3,2,6,2,7,7,7,6,7,6,3,3,3,2,3,4,6,5,6,5,5,4,4,4,5,4,4,3.2,5.66666666666667,4.5,4.25,7,2,38,6,"Aptitude",0,0,NA,0,0,1,1,1,1,0,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,NA,NA,3,NA,NA,6,NA,NA,2,3,6
"2",4,NA,NA,NA,NA,"Why don't you try teaching someone else the materials.",10,NA,NA,"Why don't you try teaching someone else the materials.",NA,NA,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,4,3,4,4.4,5,4.25,3.75,10,1,31,5,"Strategy",0,1,1,0,0.5,0,0,0,0,0,0.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,NA,5,NA,NA,4,NA,NA,4,NA,5,4,4
"3",5,NA,NA,"Get serious and study. Cannot pass a test without knowing the material to be tested.",6,NA,NA,NA,NA,"Get serious and study. Cannot pass a test without knowing the material to be tested.",NA,NA,1,4,4,1,5,4,1,7,4,1,4,4,7,7,7,4,4,4,4,3,4,4,4,4,7,7,7,3,2,2,2,3,2,3,3,3.8,7,2.25,2.75,6,2,35,4,"Effort",1,0,0,1,0,0,0,0,0,0,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,1,NA,NA,5,NA,NA,4,1,5,4
"4",6,NA,NA,"I would first pay attention in class. Take good notes and review them in small chunks every night.",8,NA,NA,NA,NA,"I would first pay attention in class. Take good notes and review them in small chunks every night.",NA,NA,3,5,2,6,3,1,1,5,2,6,7,4,7,7,7,4,3,5,2,3,5,3,2,4,5,7,4,4,2,4,3,3,3,2,2,3.2,5.33333333333333,3.25,2.5,8,1,26,5,"Effort",1,0,0,0,0.5,0,0,1,0,0,0.3,1,1,1,1,1,1,0,0,0,1,1,1,1,2,1,2,0,1,3,1,1,NA,NA,6,NA,NA,3,NA,NA,1,6,3,1
"5",9,NA,NA,NA,NA,"try to make up relational terms to go with each study fact that you have down.  maybe a story or something relating to your past to make it more personal",8,NA,NA,"try to make up relational terms to go with each study fact that you have down.  maybe a story or something relating to your past to make it more personal",NA,NA,3,5,3,4,5,2,2,6,2,6,4,4,6,6,6,6,2,6,4,4,4,2,2,4,6,6,6,3,3,3,3,4,4,4,4,3.6,6,3,4,8,1,34,5,"Strategy",0,1,1,0,1,1,0,0,0,0,0.4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,NA,6,NA,NA,4,NA,NA,4,NA,6,4,4
"6",10,NA,NA,NA,NA,"I would suggest her to pay more attention in class and only take notes of the important material. Do not wait until the last minute to study. Don't try to memorize but it's more important to understand the key concepts first.",6,NA,NA,"I would suggest her to pay more attention in class and only take notes of the important material. Do not wait until the last minute to study. Don't try to memorize but it's more important to understand the key concepts first.",NA,NA,4,4,5,4,3,4,4,3,4,3,3,5,3,5,4,4,5,4,3,3,3,2,3,3,3,4,4,3,2,2,3,3,4,3,4,3,3.66666666666667,2.5,3.5,6,1,40,5,"Strategy",0,1,1,0.5,0,0.5,0,1,0,1,0.6,2,2,2,1,2,2,0,0,0,0,0,0,2,1,1,2,1,3,4,1,1,NA,3,NA,NA,3,NA,NA,5,NA,3,3,5
"7",11,NA,NA,"I would tell her to pay attention in class and to take notes. If you record all of the notes and actually read the study materials, passing is easy and you will feel much better about doing well.",9,NA,NA,NA,NA,"I would tell her to pay attention in class and to take notes. If you record all of the notes and actually read the study materials, passing is easy and you will feel much better about doing well.",NA,NA,2,2,4,4,5,2,2,7,4,3,3,3,6,7,7,2,4,4,4,5,4,4,3,4,5,5,4,4,4,4,3,3,5,4,3,4,4.66666666666667,3.75,3.75,9,1,29,5,"Effort",1,0,0,0.5,0,0,0,1,0,0,0.3,1,0,0,1,2,2,0,0,0,1,1,1,2,1,1,1,1,1,3,0,1,NA,NA,4,NA,NA,5,NA,NA,2,4,5,2
"8",13,"I would suggest a different studying method since clearly her current method is not working for the course. Some courses need different mindsets and memorization techniques. I would suggest flash cards or outlines if she has not tried that yet.",8,NA,NA,NA,NA,NA,NA,"I would suggest a different studying method since clearly her current method is not working for the course. Some courses need different mindsets and memorization techniques. I would suggest flash cards or outlines if she has not tried that yet.",NA,NA,1,3,3,2,6,1,1,6,3,4,4,1,6,3,7,5,3,5,3,4,3,3,4,4,3,3,2,5,5,5,4,3,4,3,4,3.6,2.66666666666667,4.75,3.5,8,1,24,5,"Aptitude",0,0,NA,1,0.5,1,1,1,0,0,0.7,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,0,1,NA,NA,3,NA,NA,3,NA,NA,1,3,3
"9",14,"i would help her study the main points.  i would tell her to make flash cards and figure out the answers based on the questions of those cards.  i would say don't overstudy",7,NA,NA,NA,NA,NA,NA,"i would help her study the main points.  i would tell her to make flash cards and figure out the answers based on the questions of those cards.  i would say don't overstudy",NA,NA,2,3,3,2,4,2,3,6,3,2,4,3,4,6,6,4,5,4,3,4,5,4,4,5,4,5,5,4,3,4,3,5,4,4,4,4.2,4.66666666666667,3.5,4.25,7,1,33,4,"Aptitude",0,0,NA,0,1,1,1,1,1,1,0.8,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,2,NA,NA,3,NA,NA,3,NA,NA,2,3,3
"10",15,NA,NA,NA,NA,"I would probably make flash cards and get someone to study with me using those instead of just trying to memorize notes.",9,NA,NA,"I would probably make flash cards and get someone to study with me using those instead of just trying to memorize notes.",NA,NA,2,3,3,7,5,1,5,6,1,6,4,1,4,7,7,3,4,5,5,5,5,2,5,4,5,5,4,4,5,3,4,3,4,3,4,4.8,4.66666666666667,4,3.5,9,2,33,4,"Strategy",0,1,1,0,0.5,0,1,1,0,0,0.3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,NA,6,NA,NA,4,NA,NA,1,NA,6,4,1
"11",16,NA,NA,NA,NA,"I think you should consider whether or not you are feeling frustrated with your ability to just memorize the materials. It can be an okay strategy for passing a test, but you have to use a better strategy. Try implementing spaced repetition, and don't let yourself get burned out at any time.",8,NA,NA,"I think you should consider whether or not you are feeling frustrated with your ability to just memorize the materials. It can be an okay strategy for passing a test, but you have to use a better strategy. Try implementing spaced repetition, and don't let yourself get burned out at any time.",NA,NA,2,3,5,2,5,1,2,4,4,4,6,2,6,7,7,7,3,7,3,4,5,1,3,3,4,5,4,3,3,2,2,5,4,4,5,3.6,4.33333333333333,2.5,4.5,8,2,39,5,"Strategy",0,1,1,1,0.5,1,0,0,0,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,NA,4,NA,NA,6,NA,NA,2,NA,4,6,2
"12",17,NA,NA,"I would tell her that she really should have been putting in more effort to pay attention. I have to study for the test myself and I can't help her this time. Sorry.",1,NA,NA,NA,NA,"I would tell her that she really should have been putting in more effort to pay attention. I have to study for the test myself and I can't help her this time. Sorry.",NA,NA,4,6,5,6,6,5,3,2,5,4,5,5,1,3,3,4,4,4,2,3,2,1,3,2,5,3,3,3,1,2,2,4,2,3,2,2.4,3.66666666666667,2,2.75,1,1,35,5,"Effort",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,NA,NA,6,NA,NA,6,NA,NA,5,6,6,5
