Status,Progress,Duration (in seconds),Finished,UserLanguage,Q9,Apt advice,Apt expectancy,Effort Advice,Effort Expectancy,Strat Advise,Strat Expectancy,Luck Advise,Luck Expectancy,Apt Out,Apt Var,Apt Uncon,Effort Out,Effort Var,Effort Uncon,Mood Out,Mood Var,Mood Uncon,Strat Out,Strat Var,Strat Uncon,Luck Out,Luck Var,Luck Uncon,Task Out,Task Var,Task Uncon,SMS1,SMS2,SMS3,SMS4,SMS5,SMS6,SMO1,SMO2,SMO3,MP1,MP2,MP3,MP4,SO1,SO2,SO3,SO4,Gender,Race,Race_4_TEXT,Age,Education,FL_25_DO,FL_26_DO,MonitoringPerformance_DO,SO_DO
Response Type,Progress,Duration (in seconds),Finished,User Language,"We are interested in people's opinions on a set of questions and thus seek your cooperation.  This study will take you about 15-20 minutes.  We respect your confidentiality in your performance and answers. Your responses will not be shared outside the research team. Data analyses will only be performed on de-identified data (i.e. we will remove all identifiers before analyzing the data in aggregate).  If you would like to speak to someone about this experiment, you may email the Researcher, Dennis Teo (e0003067@u.nus.edu).   If you consent to participate in this survey, please click on the button below to indicate your consent and proceed to the next page.","In the box below, please describe how you would advise your friend on the above issue.","If Amelia followed your advice, how likely do you think she would improve on the upcoming test?","In the box below, please describe how you would advise your friend on the above issue.","If Amelia followed your advice, how likely do you think she would improve on the upcoming test?","In the box below, please describe how you would advise your friend on the above issue.","If Amelia followed your advice, how likely do you think she would improve on the upcoming test?","In the box below, please describe how you would advise your friend on the above issue.","If Amelia followed your advice, how likely do you think she would improve on the upcoming test?",To what extent does aptitude reside inside or outside you?,To what extent does aptitude change over time?,To what extent is aptitude controllable by you and other people?,To what extent does effort reside inside or outside you?,To what extent does effort change over time?,To what extent is effort controllable by you and other people?,To what extent does mood reside inside or outside you?,To what extent does mood change over time?,To what extent is mood controllable by you and other people?,To what extent does strategy reside inside or outside you?,To what extent does strategy change over time?,To what extent is strategy controllable by you and other people?,To what extent does luck reside inside or outside you?,To what extent does luck change over time?,To what extent is luck controllable by you and other people?,To what extent does task difficulty reside inside or outside you?,To what extent does task difficulty change over time?,To what extent is task difficulty controllable by you and other people?,"In moments when you feel challenged, how often do you ask yourself: ""What are things I can do to make myself better at this?""","When you are struggling with something, how often do you ask yourself: ""What can I do to help myself?""","Whenever something feels difficult, how often do you ask yourself: ""What can I do to get better at this?""","When you are stuck on something, how often do you give up on finding ways to help yourself?""","Whenever you feel like you are not making progress, how often do you ask yourself: ""Is there a better way of doing this?""","Whenever you feel frustrated with something, how often do  you ask yourself: ""How can I do this better?""","How much do you believe that you must always keep an eye out for new strategies, even when everything is going well?","How strongly do you believe that you need to constantly be thinking of different ways to approach a problem, even when things are going smoothly?","How important is it to keep searching for different ways of doing things, even when you have already found a solution?","When you are in the middle of solving a problem, how often do you think: ""How much progress have I made so far?""","When you are working towards a goal, how often do you think to yourself: ""How close am I to the objective?""","When you are performing a task, how often do you ask yourself:""At this point, am I on the right track?""","When you are working on a project, how often do you ask yourself:""How well am I coping with this so far?""","In your opinion, how often do you demonstrate strategy?","In your opinion, how often do you engage in planning?","In your opinion, how often do you think of strategies?","In your opinion, how often do you apply strategy?",What is your gender?,What is your race/ ethnicity? You may select more than one if you identify with more than one. - Selected Choice,"What is your race/ ethnicity? You may select more than one if you identify with more than one. - Other, please specify - Text","What is your age in years, as of 1st January 2018?","In your own schooling, what is the highest degree you have received?",FL_25 - Block Randomizer - Display Order,FL_26 - Block Randomizer - Display Order,Monitoring Performance - Display Order,SO - Display Order
"{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID120""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID90""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""FL_25_DO""}","{""ImportId"":""FL_26_DO""}","{""ImportId"":""BL_9H7Joi0JCYVbrzn_DO""}","{""ImportId"":""BL_00PGE35kTuGHzbT_DO""}"
0,100,109,1,EN,1,,,,,,,I'd say study. Hopefully she won't be sick on the next one.,1,6,1,1,2,6,6,4,2,7,7,2,5,6,7,3,1,6,7,2,5,2,1,5,2,3,1,6,1,2,5,4,1,2,2,4,1,1,,30,4,LuckScenario_Other,MoodDimensions|AptitudeDimensions|LuckDimensions|EffortDimensions|StrategyDimensions|TaskDimensions,Q80|MP1|MP4|MP3|MP2,Q90|SO2|SO3|SO1|SO4
0,100,154,1,EN,1,,,,,"In Pavlov's famous dog experiments, the dogs learned to salivate at the mere sound of a bell ringing. ... Baby Kate has learned that every time she cries her mother picks her up. ... Classical Conditioning, and Advertising,"" all of the following could be said about .... Your friend's younger sister Monica is a junior in high school.",9,,,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,3,3,2,3,2,3,6,5,6,3,3,3,3,3,4,3,4,1,1,,25,6,StrategyScenario_Other,MoodDimensions|LuckDimensions|AptitudeDimensions|StrategyDimensions|EffortDimensions|TaskDimensions,Q80|MP3|MP1|MP4|MP2,Q90|SO1|SO2|SO3|SO4
0,100,178,1,EN,1,I would take a look at how she is organizing her notes and see if I can assist.,7,,,,,,,2,3,6,5,7,2,3,7,3,2,6,2,7,7,7,6,7,6,3,3,3,2,3,4,6,5,6,5,5,4,4,4,5,4,4,2,1,,38,6,AptitudeScenario_Other,EffortDimensions|LuckDimensions|StrategyDimensions|MoodDimensions|AptitudeDimensions|TaskDimensions,Q80|MP3|MP4|MP2|MP1,Q90|SO4|SO3|SO1|SO2
0,100,201,1,EN,1,,,,,Why don't you try teaching someone else the materials.,10,,,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,4,3,4,1,1,,31,5,StrategyScenario_Other,TaskDimensions|AptitudeDimensions|LuckDimensions|StrategyDimensions|EffortDimensions|MoodDimensions,Q80|MP3|MP4|MP1|MP2,Q90|SO1|SO4|SO3|SO2
0,100,216,1,EN,1,,,Get serious and study. Cannot pass a test without knowing the material to be tested.,6,,,,,1,4,4,1,5,4,1,7,4,1,4,4,7,7,7,4,4,4,4,3,4,4,4,4,7,7,7,3,2,2,2,3,2,3,3,2,1,,35,4,EffortScenario_Other,LuckDimensions|TaskDimensions|EffortDimensions|StrategyDimensions|MoodDimensions|AptitudeDimensions,Q80|MP1|MP4|MP3|MP2,Q90|SO2|SO1|SO4|SO3
0,100,191,1,EN,1,,,I would first pay attention in class. Take good notes and review them in small chunks every night.,8,,,,,3,5,2,6,3,1,1,5,2,6,7,4,7,7,7,4,3,5,2,3,5,3,2,4,5,7,4,4,2,4,3,3,3,2,2,1,1,,26,5,EffortScenario_Other,AptitudeDimensions|StrategyDimensions|MoodDimensions|TaskDimensions|EffortDimensions|LuckDimensions,Q80|MP3|MP2|MP4|MP1,Q90|SO3|SO2|SO4|SO1
0,100,211,1,EN,1,,,,,,,Make sure you study the material really well and get a good nights rest. If you prepare really well then you won't feel nervous and you will do really well. Honestly just try as hard as you can and no matter the outcome you will know you did the best that you could. ,10,1,5,2,1,6,1,1,7,3,2,6,1,5,7,6,6,5,5,4,5,5,2,5,5,2,1,1,5,4,4,4,4,5,4,4,2,"1,7",,24,5,LuckScenario_Other,EffortDimensions|StrategyDimensions|LuckDimensions|AptitudeDimensions|TaskDimensions|MoodDimensions,Q80|MP2|MP3|MP1|MP4,Q90|SO1|SO4|SO2|SO3
0,100,232,1,EN,1,,,,,,,Try to stay calm. Go to the bathroom before the test and don't eat before the test. Just breathe and take your time.,9,1,4,5,2,6,6,3,5,5,1,5,6,4,4,4,6,6,4,4,4,4,4,4,4,6,6,6,4,4,4,4,4,4,4,4,1,1,,51,5,LuckScenario_Other,EffortDimensions|MoodDimensions|StrategyDimensions|TaskDimensions|LuckDimensions|AptitudeDimensions,Q80|MP4|MP2|MP1|MP3,Q90|SO2|SO4|SO3|SO1
0,100,239,1,EN,1,,,,,try to make up relational terms to go with each study fact that you have down.  maybe a story or something relating to your past to make it more personal,8,,,3,5,3,4,5,2,2,6,2,6,4,4,6,6,6,6,2,6,4,4,4,2,2,4,6,6,6,3,3,3,3,4,4,4,4,1,1,,34,5,StrategyScenario_Other,MoodDimensions|EffortDimensions|TaskDimensions|StrategyDimensions|LuckDimensions|AptitudeDimensions,Q80|MP3|MP2|MP1|MP4,Q90|SO2|SO4|SO3|SO1
0,100,201,1,EN,1,,,,,I would suggest her to pay more attention in class and only take notes of the important material. Do not wait until the last minute to study. Don't try to memorize but it's more important to understand the key concepts first. ,6,,,4,4,5,4,3,4,4,3,4,3,3,5,3,5,4,4,5,4,3,3,3,2,3,3,3,4,4,3,2,2,3,3,4,3,4,1,1,,40,5,StrategyScenario_Other,TaskDimensions|MoodDimensions|AptitudeDimensions|LuckDimensions|StrategyDimensions|EffortDimensions,Q80|MP4|MP2|MP3|MP1,Q90|SO1|SO4|SO3|SO2
0,100,227,1,EN,1,,,"I would tell her to pay attention in class and to take notes. If you record all of the notes and actually read the study materials, passing is easy and you will feel much better about doing well.",9,,,,,2,2,4,4,5,2,2,7,4,3,3,3,6,7,7,2,4,4,4,5,4,4,3,4,5,5,4,4,4,4,3,3,5,4,3,1,1,,29,5,EffortScenario_Other,EffortDimensions|MoodDimensions|AptitudeDimensions|StrategyDimensions|LuckDimensions|TaskDimensions,Q80|MP4|MP1|MP3|MP2,Q90|SO4|SO1|SO3|SO2
0,100,216,1,EN,1,,,,,,,I would just tell her to try her best... and not get nervous. ,2,2,5,3,1,4,2,2,7,4,5,7,1,7,7,7,7,6,7,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,1,,26,5,LuckScenario_Other,StrategyDimensions|LuckDimensions|MoodDimensions|TaskDimensions|AptitudeDimensions|EffortDimensions,Q80|MP3|MP2|MP1|MP4,Q90|SO4|SO1|SO2|SO3
0,100,255,1,EN,1,I would suggest a different studying method since clearly her current method is not working for the course. Some courses need different mindsets and memorization techniques. I would suggest flash cards or outlines if she has not tried that yet.,8,,,,,,,1,3,3,2,6,1,1,6,3,4,4,1,6,3,7,5,3,5,3,4,3,3,4,4,3,3,2,5,5,5,4,3,4,3,4,1,1,,24,5,AptitudeScenario_Other,EffortDimensions|MoodDimensions|LuckDimensions|TaskDimensions|AptitudeDimensions|StrategyDimensions,Q80|MP1|MP4|MP2|MP3,Q90|SO1|SO3|SO2|SO4
0,100,182,1,EN,1,i would help her study the main points.  i would tell her to make flash cards and figure out the answers based on the questions of those cards.  i would say don't overstudy,7,,,,,,,2,3,3,2,4,2,3,6,3,2,4,3,4,6,6,4,5,4,3,4,5,4,4,5,4,5,5,4,3,4,3,5,4,4,4,1,1,,33,4,AptitudeScenario_Other,LuckDimensions|EffortDimensions|MoodDimensions|AptitudeDimensions|TaskDimensions|StrategyDimensions,Q80|MP2|MP4|MP3|MP1,Q90|SO4|SO2|SO1|SO3
0,100,250,1,EN,1,,,,,I would probably make flash cards and get someone to study with me using those instead of just trying to memorize notes. ,9,,,2,3,3,7,5,1,5,6,1,6,4,1,4,7,7,3,4,5,5,5,5,2,5,4,5,5,4,4,5,3,4,3,4,3,4,2,1,,33,4,StrategyScenario_Other,MoodDimensions|StrategyDimensions|EffortDimensions|LuckDimensions|AptitudeDimensions|TaskDimensions,Q80|MP3|MP1|MP4|MP2,Q90|SO1|SO3|SO4|SO2
0,100,231,1,EN,1,,,,,"I think you should consider whether or not you are feeling frustrated with your ability to just memorize the materials. It can be an okay strategy for passing a test, but you have to use a better strategy. Try implementing spaced repetition, and don't let yourself get burned out at any time.",8,,,2,3,5,2,5,1,2,4,4,4,6,2,6,7,7,7,3,7,3,4,5,1,3,3,4,5,4,3,3,2,2,5,4,4,5,2,1,,39,5,StrategyScenario_Other,EffortDimensions|AptitudeDimensions|LuckDimensions|StrategyDimensions|MoodDimensions|TaskDimensions,Q80|MP2|MP3|MP1|MP4,Q90|SO3|SO1|SO2|SO4
0,100,192,1,EN,1,,,I would tell her that she really should have been putting in more effort to pay attention. I have to study for the test myself and I can't help her this time. Sorry.,1,,,,,4,6,5,6,6,5,3,2,5,4,5,5,1,3,3,4,4,4,2,3,2,1,3,2,5,3,3,3,1,2,2,4,2,3,2,1,1,,35,5,EffortScenario_Other,StrategyDimensions|LuckDimensions|AptitudeDimensions|EffortDimensions|MoodDimensions|TaskDimensions,Q80|MP4|MP2|MP1|MP3,Q90|SO3|SO4|SO1|SO2
0,100,227,1,EN,1,"I would recommend that Amelia take some extra time to study more before the next test.  She should join a study group, get a tutor and talk to the teacher.",9,,,,,,,1,4,4,1,7,1,1,7,1,4,7,5,7,7,7,7,7,7,5,5,5,5,5,5,7,7,7,5,5,5,5,4,5,3,4,1,1,,45,4,AptitudeScenario_Other,StrategyDimensions|LuckDimensions|MoodDimensions|EffortDimensions|TaskDimensions|AptitudeDimensions,Q80|MP1|MP4|MP2|MP3,Q90|SO3|SO4|SO2|SO1
0,100,300,1,EN,1,,,,,"I would probably explain to her different ways of studying that might help with retaining the information. Some people learn better by repeating things out loud, some people do well with re-copying information. Flash cards about the information and pre testing can help also. I would see which one sounded appealing to her and offer to help her study",8,,,1,6,4,1,7,1,2,7,4,2,5,2,7,7,7,6,6,7,3,4,4,2,4,4,5,5,4,3,4,3,3,4,4,4,4,2,1,,39,4,StrategyScenario_Other,StrategyDimensions|TaskDimensions|LuckDimensions|MoodDimensions|EffortDimensions|AptitudeDimensions,Q80|MP3|MP4|MP2|MP1,Q90|SO2|SO4|SO1|SO3
