"","id","aptadvicefail","aptexpectancyfail","aptadvicesucc","aptexpectancysucc","effortadvicefail","effortexpectancyfail","effortadvicesucc","effortexpectancysucc","stratadvisefail","stratexpectancyfail","stratadvicesucc","stratexpectancysucc","actions","investigate","invest","switch","transfer","expectancy","aptout","aptvar","aptuncon","effortout","effortvar","effortuncon","moodout","moodvar","mooduncon","stratout","stratvar","stratuncon","luckout","luckvar","luckuncon","taskout","taskvar","taskuncon","sms1","sms2","sms3","sms4","sms5","sms6","sms7","sms8","sms","smo1","smo2","smo3","smo","so1","so2","so3","so4","so","gender","race_1","race_2","race_3","race_4","race_4_text","race_5","race_7","age","education","scenario","valence","attribution","do-br-fl_26","do-bl-so","redo_val","redo_den","redo_final","method_val","method_den","method","bruteforce_val","bruteforce_den","bruteforce_final","tangiblerewards_val","tangiblerewards_den","tangiblerewards","threat_val","threat_den","threat","redo_den2","redo_val2","redo","bruteforce_den2","bruteforce_val2","bruteforce","race","aptitude.locus","strategy.locus","effort.locus","aptitude.var","strategy.var","effort.var","aptitude.uncon","strategy.uncon","effort.uncon","locusout","variability","uncontrollability"
"1",1,"warn him that' he's on the bubble unless he improves",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"warn him that' he's on the bubble unless he improves",0,0,0,0,2,4,4,4,1,6,1,1,6,1,3,6,3,7,7,7,7,4,7,1,1,2,1,2,2,1,1,1.375,2,2,3,2.333333333,3,2,3,2,2.5,1,"White",NA,NA,NA,NA,NA,NA,37,5,"Aptitude Scenario Fail","Fail","Aptitude","Task Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Effort Dimensions","Q90|SO1|SO3|SO4|SO2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"White",4,NA,NA,4,NA,NA,4,NA,NA,4,4,4
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"Advise the employee as to why the strategy would not work",4,NA,NA,"Advise the employee as to why the strategy would not work",0,0,0,0,4,2,3,5,2,4,4,1,7,2,4,4,4,7,7,7,7,6,4,3,3,2,2,4,4,3,3,3,2,2,2,2,3,4,3,3,3.25,2,"White",NA,NA,NA,NA,NA,NA,32,4,"Strategy Scenario Fail","Fail","Strategy","Aptitude Dimensions|Mood Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions|Strategy Dimensions","Q90|SO2|SO3|SO4|SO1",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,4,NA,NA,4,NA,NA,4,NA,4,4,4
"3",3,NA,NA,NA,NA,NA,NA,"I would give the proposal my full backing. I would take the proposal to others and share it. I would see if we can make the proposal a reality.",11,NA,NA,NA,NA,"I would give the proposal my full backing. I would take the proposal to others and share it. I would see if we can make the proposal a reality.",0,1,0,0,11,1,7,1,1,7,1,1,7,1,1,7,1,7,1,7,7,7,7,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,1,"White",NA,NA,NA,NA,NA,NA,36,7,"Effort Scenario Success","Success","Effort","Luck Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions|Task Dimensions","Q90|SO4|SO3|SO2|SO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,NA,1,NA,NA,7,NA,NA,1,1,7,1
"4",4,NA,NA,NA,NA,"I would talk to him and tell him that I expect more from him. I want him to try more. I would ask him what he would do to improve and give him advice on how to improve.",6,NA,NA,NA,NA,NA,NA,"I would talk to him and tell him that I expect more from him. I want him to try more. I would ask him what he would do to improve and give him advice on how to improve.",0,0,0,0,6,3,2,6,1,2,1,5,6,6,3,5,3,7,7,7,7,6,6,4,4,5,4,4,5,5,4,4.375,5,5,6,5.333333333,3,4,3,4,3.5,1,"White",NA,NA,NA,NA,NA,NA,26,5,"Effort Scenario Fail","Fail","Effort","Mood Dimensions|Aptitude Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions","Q90|SO4|SO3|SO1|SO2",0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,"White",NA,NA,1,NA,NA,2,NA,NA,1,1,2,1
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would commend them on their work and let them know that I believe that they did a good job",9,"I would commend them on their work and let them know that I believe that they did a good job",0,0,0,0,9,5,6,6,5,5,5,5,6,5,6,5,6,5,6,5,5,4,4,3,4,4,3,3,4,4,4,3.625,5,4,5,4.666666667,4,3,4,4,3.75,1,"White",NA,NA,NA,NA,NA,NA,26,5,"Strategy Scenario Success","Success","Strategy","Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Aptitude Dimensions","Q90|SO3|SO2|SO1|SO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,6,NA,NA,5,NA,NA,6,NA,6,5,6
"6",6,"Let them know that I will be doing an evaluation to go over anything that could be improved.",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Let them know that I will be doing an evaluation to go over anything that could be improved.",0,0,0,0,8,6,4,3,2,4,2,2,4,3,4,3,4,7,6,7,6,4,4,5,5,5,1,5,4,4,4,4.125,5,5,6,5.333333333,3,4,2,3,3,2,NA,"Hispanic/Latino",NA,NA,NA,NA,NA,30,4,"Aptitude Scenario Fail","Fail","Aptitude","Aptitude Dimensions|Mood Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions","Q90|SO3|SO1|SO4|SO2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hispanic/Latino",6,NA,NA,4,NA,NA,3,NA,NA,6,4,3
"7",7,NA,NA,NA,NA,"I would have a sit down meeting with the employee to discuss why I'm disappointed and ask them if there's anything I can do to help them improve their performance, or if there's anything happening with them that I should be aware of.",6,NA,NA,NA,NA,NA,NA,"I would have a sit down meeting with the employee to discuss why I'm disappointed and ask them if there's anything I can do to help them improve their performance, or if there's anything happening with them that I should be aware of.",1,0,0,0,6,3,6,6,2,6,6,1,5,2,2,5,5,7,7,7,6,6,3,4,4,4,4,4,4,4,4,4,6,6,6,6,4,4,4,4,4,2,"White",NA,NA,NA,NA,NA,NA,32,5,"Effort Scenario Fail","Fail","Effort","Strategy Dimensions|Task Dimensions|Aptitude Dimensions|Effort Dimensions|Mood Dimensions|Luck Dimensions","Q90|SO1|SO4|SO2|SO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,NA,2,NA,NA,6,NA,NA,6,2,6,6
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,"I would tell the employee to make another plan and give some examples on what I should expect. If he doesn't, then demote him.",9,NA,NA,"I would tell the employee to make another plan and give some examples on what I should expect. If he doesn't, then demote him.",0,0,0,0,9,2,2,3,2,3,2,5,6,6,4,5,4,7,7,7,4,3,4,3,4,3,3,4,3,4,4,3.5,5,5,6,5.333333333,4,3,3,4,3.5,1,"White",NA,NA,NA,NA,NA,NA,30,4,"Strategy Scenario Fail","Fail","Strategy","Strategy Dimensions|Luck Dimensions|Mood Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions","Q90|SO1|SO2|SO3|SO4",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,"White",NA,4,NA,NA,5,NA,NA,4,NA,4,5,4
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would praise the employee and talk about their strategy and high expertise on the project.",9,"I would praise the employee and talk about their strategy and high expertise on the project.",0,0,0,0,9,2,4,4,2,5,2,3,4,5,3,4,2,7,7,7,6,2,6,4,5,4,3,4,4,4,4,4,5,5,5,5,3,3,4,4,3.5,2,"White",NA,NA,NA,NA,NA,NA,22,4,"Strategy Scenario Success","Success","Strategy","Strategy Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions","Q90|SO3|SO1|SO4|SO2",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,3,NA,NA,4,NA,NA,2,NA,3,4,2
"10",10,NA,NA,"I would try to give the employer more responsibility because I believe they are apt",10,NA,NA,NA,NA,NA,NA,NA,NA,"I would try to give the employer more responsibility because I believe they are apt",0,1,0,0,10,4,3,4,6,5,6,5,4,5,4,4,5,5,4,3,5,4,5,3,3,4,4,3,3,4,4,3.5,4,3,5,4,4,2,3,3,3,1,"White",NA,NA,NA,NA,NA,NA,24,6,"Aptitude Scenario Success","Success","Aptitude","Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions","Q90|SO4|SO2|SO3|SO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",4,NA,NA,3,NA,NA,4,NA,NA,4,3,4
"11",11,"i would sit down and try to inspire this person to do better quality work.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i would sit down and try to inspire this person to do better quality work.",0,0,0,0,3,2,3,6,1,1,2,3,4,3,2,5,4,5,6,7,6,6,5,4,5,3,2,3,3,3,3,3.25,5,4,3,4,4,4,4,4,4,1,"White",NA,NA,NA,NA,NA,NA,33,3,"Aptitude Scenario Fail","Fail","Aptitude","Strategy Dimensions|Effort Dimensions|Aptitude Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions","Q90|SO1|SO2|SO3|SO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",2,NA,NA,3,NA,NA,6,NA,NA,2,3,6
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would praise them for their good work and I would ask other to mimic it",10,"I would praise them for their good work and I would ask other to mimic it",0,0,0,0,10,1,1,7,1,7,1,1,7,7,2,4,1,7,7,7,4,1,4,3,4,4,4,4,4,4,4,3.875,5,5,5,5,5,5,3,5,4.5,1,"White",NA,NA,NA,NA,NA,NA,36,5,"Strategy Scenario Success","Success","Strategy","Strategy Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions","Q90|SO4|SO1|SO2|SO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,2,NA,NA,4,NA,NA,1,NA,2,4,1
"13",13,NA,NA,"I plan to highlight employees skills by sharing this proposal, making my edits, and giving the employee credit for it. He is a hard working and his good work reflects well on me. At his next review, I plan to put him in for a raise.",10,NA,NA,NA,NA,NA,NA,NA,NA,"I plan to highlight employees skills by sharing this proposal, making my edits, and giving the employee credit for it. He is a hard working and his good work reflects well on me. At his next review, I plan to put him in for a raise.",0,0,0,0,10,4,5,5,2,6,3,1,7,4,3,7,1,7,7,7,7,7,5,4,4,4,2,3,3,3,4,3.375,2,2,2,2,3,3,4,3,3.25,2,"White",NA,NA,NA,NA,NA,NA,28,6,"Aptitude Scenario Success","Success","Aptitude","Aptitude Dimensions|Effort Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Strategy Dimensions","Q90|SO3|SO4|SO1|SO2",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"White",4,NA,NA,5,NA,NA,5,NA,NA,4,5,5
"14",14,NA,NA,NA,NA,"In this situation I would take the employee aside and ask them what they think happened and why they think the proposal was not up to par. From there I would discuss with them ways in which they could improve their work in the future.",6,NA,NA,NA,NA,NA,NA,"In this situation I would take the employee aside and ask them what they think happened and why they think the proposal was not up to par. From there I would discuss with them ways in which they could improve their work in the future.",0,0,0,0,6,1,3,2,1,2,1,1,7,3,1,4,1,7,7,7,7,7,7,4,4,4,2,4,4,4,4,3.75,6,6,7,6.333333333,4,5,3,4,4,2,"White",NA,NA,NA,NA,NA,NA,36,4,"Effort Scenario Fail","Fail","Effort","Luck Dimensions|Mood Dimensions|Task Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions","Q90|SO1|SO3|SO2|SO4",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,NA,1,NA,NA,2,NA,NA,1,1,2,1
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,"I would review it kindly but firmly and suggest some alternatives that might be more appropriate.",8,NA,NA,"I would review it kindly but firmly and suggest some alternatives that might be more appropriate.",0,0,0,0,8,2,4,3,2,4,2,2,6,4,2,5,3,6,6,6,5,4,4,4,4,4,3,4,4,4,4,3.875,5,5,5,5,4,4,4,4,4,2,"White",NA,NA,NA,NA,NA,NA,34,6,"Strategy Scenario Fail","Fail","Strategy","Strategy Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions","Q90|SO1|SO4|SO3|SO2",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",NA,2,NA,NA,5,NA,NA,3,NA,2,5,3
