ID,AptAdviceFail,AptExpectancyFail,AptAdviceSucc,AptExpectancySucc,EffortAdviceFail,EffortExpectancyFail,EffortAdviceSucc,EffortExpectancySucc,StratAdviseFail,StratExpectancyFail,StratAdviceSucc,StratExpectancySucc,Actions,Investigate,Invest,Switch,Transfer,Expectancy,AptOut,AptVar,AptUncon,EffortOut,EffortVar,EffortUncon,MoodOut,MoodVar,MoodUncon,StratOut,StratVar,StratUncon,LuckOut,LuckVar,LuckUncon,TaskOut,TaskVar,TaskUncon,SMS1,SMS2,SMS3,SMS4,SMS5,SMS6,SMS7,SMS8,SMS,SMO1,SMO2,SMO3,SMO,SO1,SO2,SO3,SO4,SO,Gender,Race_1,Race_2,Race_3,Race_4,Race_4_TEXT,Race_5,Race_7,Age,Education,Scenario,Valence,Attribution,DO-BR-FL_26,DO-BL-SO,Redo_Val,Redo_Den,Redo_Final,Method_Val,Method_Den,Method_Final,BruteForce_Val,BruteForce_Den,BruteForce_Final,TangibleRewards_Val,TangibleRewards_Den,TangibleRewards_Final,Threat_Val,Threat_Den,Threat_Final,Redo_Den2,Redo_Val2,Redo_Final2,BruteForce_Den2,BruteForce_Val2,BruteForce_Final2
1,warn him that' he's on the bubble unless he improves,2,,,,,,,,,,,warn him that' he's on the bubble unless he improves,0,0,0,0,2,4,4,4,1,6,1,1,6,1,3,6,3,7,7,7,7,4,7,1,1,2,1,2,2,1,1,1.375,2,2,3,2.333333333,3,2,3,2,2.5,1,1,,,,,,,37,5,Aptitude Scenario Fail,Fail,Aptitude,Task Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Effort Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2,,,,,,,,,Advise the employee as to why the strategy would not work,4,,,Advise the employee as to why the strategy would not work,0,0,0,0,4,2,3,5,2,4,4,1,7,2,4,4,4,7,7,7,7,6,4,3,3,2,2,4,4,3,3,3,2,2,2,2,3,4,3,3,3.25,2,1,,,,,,,32,4,Strategy Scenario Fail,Fail,Strategy,Aptitude Dimensions|Mood Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO2|SO3|SO4|SO1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,,I would give the proposal my full backing. I would take the proposal to others and share it. I would see if we can make the proposal a reality.,11,,,,,I would give the proposal my full backing. I would take the proposal to others and share it. I would see if we can make the proposal a reality.,0,1,0,0,11,1,7,1,1,7,1,1,7,1,1,7,1,7,1,7,7,7,7,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,1,1,,,,,,,36,7,Effort Scenario Success,Success,Effort,Luck Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions|Task Dimensions,Q90|SO4|SO3|SO2|SO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,I would talk to him and tell him that I expect more from him. I want him to try more. I would ask him what he would do to improve and give him advice on how to improve.,6,,,,,,,I would talk to him and tell him that I expect more from him. I want him to try more. I would ask him what he would do to improve and give him advice on how to improve.,0,0,0,0,6,3,2,6,1,2,1,5,6,6,3,5,3,7,7,7,7,6,6,4,4,5,4,4,5,5,4,4.375,5,5,6,5.333333333,3,4,3,4,3.5,1,1,,,,,,,26,5,Effort Scenario Fail,Fail,Effort,Mood Dimensions|Aptitude Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions,Q90|SO4|SO3|SO1|SO2,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
5,,,,,,,,,,,I would commend them on their work and let them know that I believe that they did a good job,9,I would commend them on their work and let them know that I believe that they did a good job,0,0,0,0,9,5,6,6,5,5,5,5,6,5,6,5,6,5,6,5,5,4,4,3,4,4,3,3,4,4,4,3.625,5,4,5,4.666666667,4,3,4,4,3.75,1,1,,,,,,,26,5,Strategy Scenario Success,Success,Strategy,Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Aptitude Dimensions,Q90|SO3|SO2|SO1|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Let them know that I will be doing an evaluation to go over anything that could be improved.,8,,,,,,,,,,,Let them know that I will be doing an evaluation to go over anything that could be improved.,0,0,0,0,8,6,4,3,2,4,2,2,4,3,4,3,4,7,6,7,6,4,4,5,5,5,1,5,4,4,4,4.125,5,5,6,5.333333333,3,4,2,3,3,2,,1,,,,,,30,4,Aptitude Scenario Fail,Fail,Aptitude,Aptitude Dimensions|Mood Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions|Effort Dimensions,Q90|SO3|SO1|SO4|SO2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,,,,"I would have a sit down meeting with the employee to discuss why I'm disappointed and ask them if there's anything I can do to help them improve their performance, or if there's anything happening with them that I should be aware of.",6,,,,,,,"I would have a sit down meeting with the employee to discuss why I'm disappointed and ask them if there's anything I can do to help them improve their performance, or if there's anything happening with them that I should be aware of.",1,0,0,0,6,3,6,6,2,6,6,1,5,2,2,5,5,7,7,7,6,6,3,4,4,4,4,4,4,4,4,4,6,6,6,6,4,4,4,4,4,2,1,,,,,,,32,5,Effort Scenario Fail,Fail,Effort,Strategy Dimensions|Task Dimensions|Aptitude Dimensions|Effort Dimensions|Mood Dimensions|Luck Dimensions,Q90|SO1|SO4|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,,,,,,,,"I would tell the employee to make another plan and give some examples on what I should expect. If he doesn't, then demote him.",9,,,"I would tell the employee to make another plan and give some examples on what I should expect. If he doesn't, then demote him.",0,0,0,0,9,2,2,3,2,3,2,5,6,6,4,5,4,7,7,7,4,3,4,3,4,3,3,4,3,4,4,3.5,5,5,6,5.333333333,4,3,3,4,3.5,1,1,,,,,,,30,4,Strategy Scenario Fail,Fail,Strategy,Strategy Dimensions|Luck Dimensions|Mood Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions,Q90|SO1|SO2|SO3|SO4,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
9,,,,,,,,,,,I would praise the employee and talk about their strategy and high expertise on the project. ,9,I would praise the employee and talk about their strategy and high expertise on the project. ,0,0,0,0,9,2,4,4,2,5,2,3,4,5,3,4,2,7,7,7,6,2,6,4,5,4,3,4,4,4,4,4,5,5,5,5,3,3,4,4,3.5,2,1,,,,,,,22,4,Strategy Scenario Success,Success,Strategy,Strategy Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions,Q90|SO3|SO1|SO4|SO2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,,I would try to give the employer more responsibility because I believe they are apt,10,,,,,,,,,I would try to give the employer more responsibility because I believe they are apt,0,1,0,0,10,4,3,4,6,5,6,5,4,5,4,4,5,5,4,3,5,4,5,3,3,4,4,3,3,4,4,3.5,4,3,5,4,4,2,3,3,3,1,1,,,,,,,24,6,Aptitude Scenario Success,Success,Aptitude,Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions|Luck Dimensions,Q90|SO4|SO2|SO3|SO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,i would sit down and try to inspire this person to do better quality work. ,3,,,,,,,,,,,i would sit down and try to inspire this person to do better quality work. ,0,0,0,0,3,2,3,6,1,1,2,3,4,3,2,5,4,5,6,7,6,6,5,4,5,3,2,3,3,3,3,3.25,5,4,3,4,4,4,4,4,4,1,1,,,,,,,33,3,Aptitude Scenario Fail,Fail,Aptitude,Strategy Dimensions|Effort Dimensions|Aptitude Dimensions|Luck Dimensions|Mood Dimensions|Task Dimensions,Q90|SO1|SO2|SO3|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,,,,,,,,,,I would praise them for their good work and I would ask other to mimic it,10,I would praise them for their good work and I would ask other to mimic it,0,0,0,0,10,1,1,7,1,7,1,1,7,7,2,4,1,7,7,7,4,1,4,3,4,4,4,4,4,4,4,3.875,5,5,5,5,5,5,3,5,4.5,1,1,,,,,,,36,5,Strategy Scenario Success,Success,Strategy,Strategy Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO4|SO1|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,,"I plan to highlight employees skills by sharing this proposal, making my edits, and giving the employee credit for it. He is a hard working and his good work reflects well on me. At his next review, I plan to put him in for a raise.",10,,,,,,,,,"I plan to highlight employees skills by sharing this proposal, making my edits, and giving the employee credit for it. He is a hard working and his good work reflects well on me. At his next review, I plan to put him in for a raise.",0,0,0,0,10,4,5,5,2,6,3,1,7,4,3,7,1,7,7,7,7,7,5,4,4,4,2,3,3,3,4,3.375,2,2,2,2,3,3,4,3,3.25,2,1,,,,,,,28,6,Aptitude Scenario Success,Success,Aptitude,Aptitude Dimensions|Effort Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Strategy Dimensions,Q90|SO3|SO4|SO1|SO2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
14,,,,,In this situation I would take the employee aside and ask them what they think happened and why they think the proposal was not up to par. From there I would discuss with them ways in which they could improve their work in the future.,6,,,,,,,In this situation I would take the employee aside and ask them what they think happened and why they think the proposal was not up to par. From there I would discuss with them ways in which they could improve their work in the future.,0,0,0,0,6,1,3,2,1,2,1,1,7,3,1,4,1,7,7,7,7,7,7,4,4,4,2,4,4,4,4,3.75,6,6,7,6.333333333,4,5,3,4,4,2,1,,,,,,,36,4,Effort Scenario Fail,Fail,Effort,Luck Dimensions|Mood Dimensions|Task Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions,Q90|SO1|SO3|SO2|SO4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,,,,,,,,I would review it kindly but firmly and suggest some alternatives that might be more appropriate.,8,,,I would review it kindly but firmly and suggest some alternatives that might be more appropriate.,0,0,0,0,8,2,4,3,2,4,2,2,6,4,2,5,3,6,6,6,5,4,4,4,4,4,3,4,4,4,4,3.875,5,5,5,5,4,4,4,4,4,2,1,,,,,,,34,6,Strategy Scenario Fail,Fail,Strategy,Strategy Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO1|SO4|SO3|SO2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,,,,,,,,i give one more chance for employee submitted to new proposal,7,,,i give one more chance for employee submitted to new proposal,0,0,0,0,7,6,5,6,5,4,5,5,2,3,6,2,4,5,4,5,6,5,5,3,4,3,2,3,3,2,3,2.875,5,4,5,4.666666667,4,3,3,2,3,1,,,,,,1,,37,6,Strategy Scenario Fail,Fail,Strategy,Luck Dimensions|Strategy Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions|Mood Dimensions,Q90|SO2|SO1|SO4|SO3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
17,,,,,,,I would just be supportive about it. I can always plan another in the later future.,5,,,,,I would just be supportive about it. I can always plan another in the later future.,0,0,0,0,5,3,7,6,3,2,6,3,7,5,3,7,5,4,6,6,4,2,6,2,1,4,3,5,1,5,3,3,2,1,5,2.666666667,3,3,1,4,2.75,2,1,,,,,1,,23,4,Effort Scenario Success,Success,Effort,Luck Dimensions|Mood Dimensions|Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,,,,well after rejecting the plan i would call the employee and say him the issue and ask him to again work on the project and come up with good plan,7,,,,,,,well after rejecting the plan i would call the employee and say him the issue and ask him to again work on the project and come up with good plan,0,0,0,0,7,6,5,5,6,6,6,5,5,5,6,5,5,4,6,6,6,6,5,4,3,3,3,3,4,3,3,3.25,6,5,5,5.333333333,4,4,4,4,4,1,1,,,,,,,27,6,Effort Scenario Fail,Fail,Effort,Mood Dimensions|Aptitude Dimensions|Task Dimensions|Effort Dimensions|Strategy Dimensions|Luck Dimensions,Q90|SO3|SO1|SO4|SO2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
19,,,I would showcase the proposal and give the employee the credit they deserve.,9,,,,,,,,,I would showcase the proposal and give the employee the credit they deserve.,0,0,0,0,9,2,1,2,1,2,1,1,1,1,1,1,1,6,6,4,4,3,4,4,4,5,2,5,4,5,5,4.25,7,7,6,6.666666667,4,5,5,4,4.5,1,1,,,,,,,48,4,Aptitude Scenario Success,Success,Aptitude,Task Dimensions|Mood Dimensions|Aptitude Dimensions|Luck Dimensions|Strategy Dimensions|Effort Dimensions,Q90|SO2|SO3|SO1|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
