Status,Progress,Duration (in seconds),Finished,UserLanguage,StratAcadUES,EffortAcadUES,StratSportsUES,EffortSportsUES,StratParentUES,EffortParentUES,StratDietUES,EffortDietUES,EffortTeamUES,StratTeamUES,StratSalesUES,EffortSalesUES,StratRelationUES,EffortRelationUES,StratAcadUSE,EffortAcadUSE,StratSportsUSE,EffortSportsUSE,StratParentUSE,EffortParentUSE,StratDietUSE,EffortDietUSE,StratTeamUSE,EffortTeamUSE,StratSalesUSE,EffortSalesUSE,StratRelationUSE,EffortRelationUSE,EffortDim1_1,EffortDim1_2,EffortDim1_3,EffortDim2_1,EffortDim2_2,EffortDim2_3,EffortDim3_1,EffortDim3_2,EffortDim3_3,EffortDim4_1,EffortDim4_2,EffortDim4_3,StratDim1_1,StratDim1_2,StratDim1_3,StratDim2_1,StratDim2_2,StratDim2_3,StratDim3_1,StratDim3_2,StratDim3_3,StratDim4_1,StratDim4_2,StratDim4_3,Gender,Race,Race_6_TEXT,Age,Education,FL_134_DO,FL_133_DO,FL_111_DO,FL_26_DO
Response Type,Progress,Duration (in seconds),Finished,User Language,What do you think Amelia should do in this situation? Please select the option which you think she should focus on most.,What do you think Amelia should do in this situation? Please select the option which you think she should focus on most.,What do you think Joe should do in this situation? Please select the option which you think he should focus on most.,What do you think Joe should do in this situation? Please select the option which you think he should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think May should do in this situation? Please select the option which you think she should focus on most.,What do you think May should do in this situation? Please select the option which you think she should focus on most.,What do you think Darcie should do in this situation? Please select the option which you think she should focus on most.,What do you think Darcie should do in this situation? Please select the option which you think she should focus on most.,What do you think Caleb should do in this situation? Please select the option which you think he should focus on most.,What do you think Caleb should do in this situation? Please select the option which you think he should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think Amelia should do in this situation? Please select the option which you think she should focus on most.,What do you think Amelia should do in this situation? Please select the option which you think she should focus on most.,What do you think Joe should do in this situation? Please select the option which you think he should focus on most.,What do you think Joe should do in this situation? Please select the option which you think he should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think May should do in this situation? Please select the option which you think she should focus on most.,What do you think May should do in this situation? Please select the option which you think she should focus on most.,What do you think Darcie should do in this situation? Please select the option which you think she should focus on most.,What do you think Darcie should do in this situation? Please select the option which you think she should focus on most.,What do you think Caleb should do in this situation? Please select the option which you think he should focus on most.,What do you think Caleb should do in this situation? Please select the option which you think he should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,What do you think the couple should do in this situation? Please select the option which you think they should focus on most.,"If you failed something because of a lack of effort,

 
Is effort something: - That reflects an aspect of yourself:reflects an aspect of the situation","If you failed something because of a lack of effort,

 
Is effort something: - Manageable by you:not manageable by you","If you failed something because of a lack of effort,

 
Is effort something: - Permanent:temporary","If you failed something because of a lack of effort,
Is effort something: - You can regulate:you cannot regulate","If you failed something because of a lack of effort,
Is effort something: - Over which others have control:over which others have no control","If you failed something because of a lack of effort,
Is effort something: - Inside of you:outside of you","If you failed something because of a lack of effort,
Is effort something: - Stable over time:variable over time","If you failed something because of a lack of effort,
Is effort something: - Under the power of other people:not under the power of other people","If you failed something because of a lack of effort,
Is effort something: - Something about you:something about others","If you failed something because of a lack of effort,
Is effort something: - Over which you have power:over which you have no power","If you failed something because of a lack of effort,
Is effort something: - Unchangeable:changeable","If you failed something because of a lack of effort,
Is effort something: - Other people can regulate:other people cannot regulate","If you failed something because of a lack of strategy,

 
Is strategy something: - That reflects an aspect of yourself:reflects an aspect of the situation","If you failed something because of a lack of strategy,

 
Is strategy something: - Manageable by you:not manageable by you","If you failed something because of a lack of strategy,

 
Is strategy something: - Permanent:temporary","If you failed something because of a lack of strategy,
Is your strategy something: - You can regulate:you cannot regulate","If you failed something because of a lack of strategy,
Is your strategy something: - Over which others have control:over which others have no control","If you failed something because of a lack of strategy,
Is your strategy something: - Inside of you:outside of you","If you failed something because of a lack of strategy,
Is your strategy something: - Stable over time:variable over time","If you failed something because of a lack of strategy,
Is your strategy something: - Under the power of other people:not under the power of other people","If you failed something because of a lack of strategy,
Is your strategy something: - Something about you:something about others","If you failed something because of a lack of strategy,
Is your strategy something: - Over which you have power:over which you have no power","If you failed something because of a lack of strategy,
Is your strategy something: - Unchangeable:changeable","If you failed something because of a lack of strategy,
Is your strategy something: - Other people can regulate:other people cannot regulate",What is your gender?,What is your race/ ethnicity? You may select more than one if you identify with more than one. - Selected Choice,"What is your race/ ethnicity? You may select more than one if you identify with more than one. - Other, please specify - Text","What is your age in years, as of 1st January 2019?","In your own schooling, what is the highest degree you have received?",FL_134 - Block Randomizer - Display Order,FL_133 - Block Randomizer - Display Order,FL_111 - Block Randomizer - Display Order,FL_26 - Block Randomizer - Display Order
"{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID152""}","{""ImportId"":""QID280""}","{""ImportId"":""QID157""}","{""ImportId"":""QID286""}","{""ImportId"":""QID161""}","{""ImportId"":""QID292""}","{""ImportId"":""QID165""}","{""ImportId"":""QID298""}","{""ImportId"":""QID304""}","{""ImportId"":""QID171""}","{""ImportId"":""QID175""}","{""ImportId"":""QID310""}","{""ImportId"":""QID179""}","{""ImportId"":""QID314""}","{""ImportId"":""QID202""}","{""ImportId"":""QID278""}","{""ImportId"":""QID282""}","{""ImportId"":""QID284""}","{""ImportId"":""QID288""}","{""ImportId"":""QID290""}","{""ImportId"":""QID294""}","{""ImportId"":""QID296""}","{""ImportId"":""QID300""}","{""ImportId"":""QID302""}","{""ImportId"":""QID306""}","{""ImportId"":""QID308""}","{""ImportId"":""QID266""}","{""ImportId"":""QID312""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID269_2""}","{""ImportId"":""QID269_3""}","{""ImportId"":""QID270_1""}","{""ImportId"":""QID270_2""}","{""ImportId"":""QID270_3""}","{""ImportId"":""QID271_1""}","{""ImportId"":""QID271_2""}","{""ImportId"":""QID271_3""}","{""ImportId"":""QID272_1""}","{""ImportId"":""QID272_2""}","{""ImportId"":""QID272_3""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID273_2""}","{""ImportId"":""QID273_3""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID274_2""}","{""ImportId"":""QID274_3""}","{""ImportId"":""QID275_1""}","{""ImportId"":""QID275_2""}","{""ImportId"":""QID275_3""}","{""ImportId"":""QID276_1""}","{""ImportId"":""QID276_2""}","{""ImportId"":""QID276_3""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""FL_134_DO""}","{""ImportId"":""FL_133_DO""}","{""ImportId"":""FL_111_DO""}","{""ImportId"":""FL_26_DO""}"
0,100,86,1,EN,,,,,,,,,,,,,,,2,5,4,2,3,4,2,3,1,4,2,2,2,3,6,5,6,5,6,5,5,7,6,4,6,5,4,8,6,7,6,7,6,6,5,5,7,5,2,5,,36,4,FL_111,,StrategySportsDifficulty-USE|EffortRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|EffortSportsDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategySalesDifficulty-USE|StrategyParentingDifficulty-USE|StrategyDietDifficulty-USE|EffortSalesDifficulty-USE|EffortTeamworkDifficulty-USE|EffortDietDifficulty-USE|StrategyAcademicDifficulty-USE|EffortParentingDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,163,1,EN,4,3,3,2,2,2,5,5,3,4,3,2,2,3,,,,,,,,,,,,,,,7,5,5,4,7,6,5,7,6,3,6,5,6,4,4,4,7,6,6,4,5,5,7,6,1,1,,31,5,FL_133,StrategyTeamworkDifficulty-UES|StrategySportsDifficulty-UES|EffortDietDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortAcademicDifficulty-UES|EffortSportsDifficulty-UES|StrategyDietDifficulty-UES|StrategySalesDifficulty-UES|StrategyParentingDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyAcademicDifficulty-UES|EffortParentingDifficulty-UES|EffortSalesDifficulty-UES|EffortRelationshipDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,147,1,EN,4,3,6,1,1,2,3,3,1,2,3,2,4,2,,,,,,,,,,,,,,,5,2,6,1,6,4,2,6,3,4,1,5,2,6,2,2,6,5,1,3,4,4,3,3,1,2,,25,5,FL_133,EffortRelationshipDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyDietDifficulty-UES|StrategySalesDifficulty-UES|StrategySportsDifficulty-UES|EffortParentingDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES|EffortSalesDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,183,1,EN,,,,,,,,,,,,,,,5,1,2,3,5,6,5,6,3,2,5,2,2,2,4,3,7,3,5,6,3,6,5,3,5,5,3,5,5,3,6,4,6,5,6,4,6,6,2,1,,32,4,FL_111,,EffortSportsDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategySportsDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|StrategyAcademicDifficulty-USE|EffortAcademicDifficulty-USE|StrategySalesDifficulty-USE|EffortDietDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyParentingDifficulty-USE|EffortSalesDifficulty-USE|StrategyDietDifficulty-USE|EffortRelationshipDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,204,1,EN,,,,,,,,,,,,,,,6,5,6,6,3,3,5,5,2,5,6,4,6,6,1,1,5,1,8,1,9,9,1,1,9,9,1,1,9,1,9,1,9,9,1,1,9,9,2,5,,29,3,FL_111,,StrategyAcademicDifficulty-USE|StrategySportsDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSalesDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortSportsDifficulty-USE|EffortDietDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyParentingDifficulty-USE|EffortParentingDifficulty-USE|EffortAcademicDifficulty-USE|StrategyDietDifficulty-USE|StrategySalesDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,145,1,EN,,,,,,,,,,,,,,,2,2,4,4,2,2,1,1,4,4,4,4,4,4,5,5,8,5,6,7,8,5,5,4,5,7,8,6,5,5,5,4,5,6,8,7,6,4,2,1,,21,4,FL_111,,StrategySalesDifficulty-USE|EffortSportsDifficulty-USE|EffortSalesDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyDietDifficulty-USE|StrategySportsDifficulty-USE|EffortRelationshipDifficulty-USE|EffortDietDifficulty-USE|StrategyParentingDifficulty-USE|EffortAcademicDifficulty-USE|EffortParentingDifficulty-USE|StrategyAcademicDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,233,1,EN,6,6,3,3,6,6,3,5,3,3,3,3,2,2,,,,,,,,,,,,,,,3,3,5,4,4,4,7,2,5,3,4,3,3,4,6,2,3,4,7,3,4,2,3,4,2,1,,24,4,FL_133,EffortSalesDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortParentingDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategySalesDifficulty-UES|StrategySportsDifficulty-UES|EffortAcademicDifficulty-UES|EffortSportsDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|StrategyDietDifficulty-UES|EffortRelationshipDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,270,1,EN,3,3,3,3,3,3,6,2,2,3,6,3,2,2,,,,,,,,,,,,,,,1,1,9,1,5,2,9,5,3,2,9,5,4,3,5,3,4,4,7,5,5,4,7,6,1,1,,36,5,FL_133,EffortRelationshipDifficulty-UES|StrategySportsDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortParentingDifficulty-UES|EffortSalesDifficulty-UES|EffortSportsDifficulty-UES|EffortAcademicDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyDietDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategySalesDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES,,EffortDimensions|StrategyDimensions
